구,기타,동물병원,동물약국,반려동물편의시설,보류,기준_년분기_코드,행정동_코드,월_평균_소득_금액,소득_구간_코드,세대수,인구수
강남구,48,77,173,114,0,20244,11680,4943841,9,245008,562762
강동구,16,48,87,61,0,20244,11740,3292857,7,220617,501125
강북구,13,26,71,47,0,20244,11305,2547460,6,143075,288321
강서구,18,46,97,72,0,20244,11500,3160623,7,273515,559366
관악구,5,27,79,54,0,20244,11620,2771927,6,288305,497924
광진구,9,31,57,48,1,20244,11215,3192971,7,170972,349563
구로구,4,29,62,31,0,20244,11530,2994059,7,184093,410709
금천구,1,17,43,29,0,20244,11545,2632285,6,121263,238507
노원구,8,42,81,57,0,20244,11350,3195375,7,218164,494527
도봉구,13,22,45,37,0,20244,11320,2785111,6,139017,305147
동대문구,6,28,57,40,0,20244,11230,3030256,7,174822,362050
동작구,3,20,48,41,0,20244,11590,3454170,7,187582,387098
마포구,30,45,83,83,0,20244,11440,3832436,8,181099,371563
서대문구,9,23,52,36,0,20244,11410,3417706,7,146263,317813
서초구,14,51,103,65,0,20244,11650,4912401,9,170787,412534
성동구,12,28,46,57,0,20244,11200,3734499,7,132175,281023
성북구,12,33,60,54,0,20244,11290,3281773,7,197587,435648
송파구,21,64,149,107,0,20244,11710,3995905,8,286913,653726
양천구,8,47,71,49,0,20244,11470,3796034,8,180143,432376
영등포구,10,31,80,41,1,20244,11560,3604887,7,192658,396901
용산구,22,29,27,40,0,20244,11170,3971498,8,103206,216612
은평구,8,41,85,54,0,20244,11380,2912739,6,215591,463983
종로구,61,11,52,19,0,20244,11110,3725859,7,72430,149489
중구,27,16,37,28,0,20244,11140,3513603,7,64738,130308
중랑구,12,30,51,53,0,20244,11260,2598785,6,188666,384093
