읍면동(법정동),등록품종수,동물소유자수,동물소유자당동물등록수
다동,25,88,1.45
정동,25,50,1.16
초동,4,4,1.25
남창동,11,26,1.23
무교동,2,1,2
무학동,13,16,1.31
묵정동,31,55,1.55
방산동,2,2,1.5
북창동,5,5,1.2
산림동,5,11,1.45
소공동,1,1,1
수하동,1,1,1
순화동,26,54,1.26
신당동,96,3806,1.31
쌍림동,13,25,1.2
예관동,3,4,1.25
예장동,19,50,1.22
오장동,12,17,1.53
입정동,14,20,1.2
주교동,3,3,1
주자동,4,3,1.67
중림동,47,244,1.18
황학동,71,769,1.35
흥인동,33,134,1.46
명동2가,10,10,1.3
저동1가,4,5,1
저동2가,6,6,1
필동1가,9,9,1.33
필동2가,22,42,1.38
필동3가,27,59,1.36
서소문동,9,2,14
광희동1가,12,28,1.32
광희동2가,26,52,1.21
남산동1가,10,9,1.89
남산동2가,18,39,1.38
남산동3가,3,2,1.5
만리동1가,24,60,1.18
만리동2가,38,150,1.29
봉래동1가,7,9,1.11
봉래동2가,1,1,1
을지로3가,6,5,1.4
을지로4가,3,5,1.2
을지로5가,24,34,1.38
을지로6가,12,15,1.53
을지로7가,5,8,1.13
의주로1가,7,12,1
의주로2가,3,3,1
인현동1가,6,5,1.2
인현동2가,21,38,1.37
장충동1가,32,94,1.41
장충동2가,31,146,1.24
충무로1가,2,2,1.5
충무로2가,4,4,1.25
충무로3가,9,8,1.25
충무로4가,20,54,1.48
충무로5가,16,29,1.45
태평로1가,1,1,1
태평로2가,3,3,1
회현동1가,44,155,1.28
회현동2가,32,69,1.29
회현동3가,3,1,4
남대문로5가,17,48,1.15
합계,115,6611,1.32
