"행정구역별(시도)","거처의 종류별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시도)","거처의 종류별",가구-계,반려동물미보유가구-계,반려동물보유가구-계,단일-계,단일-개,단일-고양이,단일-기타,복합-계,복합-개+고양이,복합-개+기타,복합-고양이+기타,복합-개+고양이+기타
"서울특별시","계",3982290,3484177,498113,479284,344419,110065,24800,18829,16740,1190,602,297
"서울특별시","주택",3683785,3210628,473157,455203,329287,101917,23999,17954,15935,1129,602,288
"서울특별시","단독주택",1039703,924353,115350,110954,78672,27705,4577,4396,3974,198,182,42
"서울특별시","아파트",1713267,1486541,226726,218025,161691,42626,13708,8701,7659,590,298,154
"서울특별시","연립주택",104234,88356,15878,15298,11151,3368,779,580,510,43,19,8
"서울특별시","다세대주택",748187,641369,106818,102905,72114,26253,4538,3913,3462,278,89,84
"서울특별시","비주거용 건물 내 주택",78394,70009,8385,8021,5659,1965,397,364,330,20,14,-
"서울특별시","주택이외의 거처",298505,273549,24956,24081,15132,8148,801,875,805,61,-,9
