dong,total
당산동,322
대림동,2725
도림동,1040
신길동,5303
여의도동,2064
영등포동,721
당산동1가,403
당산동2가,277
당산동3가,509
당산동4가,563
당산동5가,607
당산동6가,209
문래동1가,12
문래동2가,62
문래동3가,751
문래동4가,96
문래동5가,230
문래동6가,485
양평동1가,269
양평동2가,356
양평동3가,535
양평동4가,335
양평동5가,314
양평동6가,290
영등포동1가,149
영등포동2가,227
영등포동3가,94
영등포동4가,116
영등포동5가,116
영등포동6가,112
영등포동7가,433
영등포동8가,239
도봉동,3717
방학동,3481
쌍문동,2081
창동,5397
공릉동,4956
상계동,12152
월계동,4581
중계동,6326
하계동,2575
내곡동,480
반포동,5595
방배동,6996
서초동,6842
신원동,375
양재동,2441
염곡동,87
우면동,1596
원지동,21
잠원동,3392
중동,720
공덕동,1680
구수동,70
당인동,100
대흥동,903
도화동,1382
동교동,362
마포동,180
망원동,3327
상수동,586
상암동,2049
서교동,2971
성산동,3832
신수동,930
신정동,77
아현동,1537
연남동,1465
염리동,975
용강동,424
창전동,895
토정동,85
하중동,124
합정동,1638
현석동,286
노고산동,561
신공덕동,759
가양동,2174
개화동,159
공항동,1056
등촌동,3363
마곡동,1397
방화동,3549
염창동,1760
오쇠동,3
화곡동,12567
내발산동,1973
외발산동,54
충현동,3333
천연동,3333
북아현동,3333
신촌동,3333
연희동,3333
홍제1동,3333
홍제2동,3333
홍제3동,3333
홍은1동,3333
홍은2동,3333
남가좌1동,3333
남가좌2동,3333
북가좌1동,3333
북가좌2동,3333
계동,90
재동,7
평동,56
화동,10
가회동,110
견지동,18
경운동,16
공평동,2
관수동,1
관철동,8
관훈동,3
교남동,2
교북동,46
구기동,623
궁정동,11
권농동,25
낙원동,35
내수동,220
내자동,14
누상동,243
누하동,75
당주동,23
도렴동,2
돈의동,34
동숭동,328
무악동,503
봉익동,2
부암동,557
사간동,20
사직동,279
삼청동,129
서린동,23
세종로,43
소격동,18
송월동,4
수송동,36
숭인동,1086
신교동,101
신영동,341
안국동,16
연건동,71
연지동,40
예지동,1
옥인동,172
와룡동,9
운니동,9
원남동,38
원서동,133
이화동,130
익선동,51
인사동,8
인의동,69
장사동,3
적선동,11
창성동,35
창신동,1352
청운동,195
청진동,2
체부동,67
충신동,181
통의동,34
통인동,72
팔판동,33
평창동,1332
필운동,50
행촌동,248
혜화동,223
홍지동,151
홍파동,192
효자동,54
효제동,27
명륜1가,250
명륜2가,220
명륜3가,313
명륜4가,60
종로1·2·3·4가동,17
종로5·6가동,55
신문로1가,7
신문로2가,65
번동,2600
미아동,6649
수유동,5734
우이동,660
남현동,871
봉천동,9601
신림동,14555
궁동,819
항동,579
개봉동,4995
고척동,3039
구로동,6743
오류동,2531
온수동,468
천왕동,755
가리봉동,654
신도림동,1849
묵동,3402
망우동,3291
면목동,10172
상봉동,3100
신내동,3485
중화동,3208
능동,662
광장동,2239
구의동,5634
군자동,1305
자양동,6878
중곡동,5815
화양동,1651
다동,128
정동,58
초동,5
남창동,32
무교동,2
무학동,21
묵정동,85
방산동,3
북창동,6
산림동,16
소공동,1
수하동,1
순화동,68
신당동,4986
쌍림동,30
예관동,5
예장동,61
오장동,26
입정동,24
주교동,3
주자동,5
중림동,288
황학동,1038
흥인동,196
명동2가,13
저동1가,5
저동2가,6
필동1가,12
필동2가,58
필동3가,80
서소문동,28
광희동1가,37
광희동2가,63
남산동1가,17
남산동2가,54
남산동3가,3
만리동1가,71
만리동2가,194
봉래동1가,10
봉래동2가,1
을지로3가,7
을지로4가,6
을지로5가,47
을지로6가,23
을지로7가,9
의주로1가,12
의주로2가,3
인현동1가,6
인현동2가,52
장충동1가,133
장충동2가,181
충무로1가,3
충무로2가,5
충무로3가,10
충무로4가,80
충무로5가,42
태평로1가,1
태평로2가,3
회현동1가,198
회현동2가,89
회현동3가,4
남대문로5가,55
본동,625
대방동,2103
동작동,360
사당동,5411
상도동,6442
흑석동,1802
상도1동,524
노량진동,1590
신대방동,2529
길음동,2005
돈암동,1978
석관동,1573
성북동,1062
장위동,3106
정릉동,3970
종암동,1748
상월곡동,507
하월곡동,2005
동선동1가,57
동선동2가,107
동선동3가,136
동선동4가,145
동선동5가,91
보문동1가,88
보문동2가,127
보문동3가,149
보문동4가,47
보문동5가,100
보문동6가,301
보문동7가,34
삼선동1가,296
삼선동2가,330
삼선동3가,240
삼선동4가,114
삼선동5가,205
성북동1가,136
안암동1가,162
안암동2가,126
안암동3가,253
안암동4가,51
안암동5가,118
동소문동1가,69
동소문동2가,74
동소문동3가,7
동소문동4가,112
동소문동5가,44
동소문동6가,84
동소문동7가,120
가락동,3891
거여동,2015
마천동,2104
문정동,3707
방이동,3652
삼전동,2170
석촌동,2101
송파동,2403
신천동,1868
오금동,2023
잠실동,5888
장지동,2023
풍납동,1859
가산동,1344
독산동,6973
시흥동,7246
갈월동,184
남영동,43
도원동,353
동자동,253
문배동,410
보광동,1509
산천동,526
서계동,348
신계동,182
신창동,155
용문동,352
이촌동,2585
주성동,81
청암동,143
한남동,2480
효창동,687
후암동,1394
동빙고동,520
서빙고동,456
이태원동,2803
용산동2가,1130
용산동3가,14
용산동4가,2
용산동5가,230
원효로1가,451
원효로2가,156
원효로3가,169
원효로4가,253
청파동1가,485
청파동2가,145
청파동3가,191
한강로1가,425
한강로2가,501
한강로3가,677
목동,9203
신월동,8517
신정동,10311
갈현동,3891
구산동,2429
녹번동,2687
대조동,2250
불광동,4566
수색동,923
신사동,3437
역촌동,3726
응암동,5763
증산동,1109
진관동,3129
도선동,291
마장동,1144
사근동,352
송정동,735
옥수동,1739
용답동,831
응봉동,983
행당동,2498
홍익동,224
금호동1가,1124
금호동2가,793
금호동3가,844
금호동4가,929
성수동1가,2285
성수동2가,1791
상왕십리동,256
하왕십리동,1852
신설동,254
용두동,1692
이문동,2671
장안동,4562
전농동,2413
제기동,1471
회기동,500
휘경동,1835
답십리동,3129
청량리동,1038
길동,3941
강일동,1610
고덕동,2559
둔촌동,3011
명일동,3038
상일동,1848
성내동,5801
암사동,6095
천호동,8067
개포동,3189
논현동,3890
대치동,4209
도곡동,2877
삼성동,2902
세곡동,641
수서동,992
신사동,874
역삼동,5096
율현동,159
일원동,1755
자곡동,898
청담동,2005
압구정동,1884
