동별(1),구,행정동,면적,구성비 (%),행정,법정,소계,소계.1,면적비율(%),마리수
서울시,서대문구,천연동,0.97,0.16,1.0,5,32.0,218.0,5.5,1097
서울시,서대문구,홍제1동,1.23,0.2,1.0,1,47.0,277.0,6.98,1392
서울시,서대문구,홍제2동,1.05,0.17,1.0,-,24.0,184.0,5.96,1188
서울시,서대문구,홍제3동,0.81,0.13,1.0,-,36.0,223.0,4.59,915
서울시,서대문구,홍은1동,1.58,0.26,1.0,1,51.0,313.0,8.96,1786
서울시,서대문구,홍은2동,2.06,0.34,1.0,-,39.0,328.0,11.68,2329
서울시,서대문구,남가좌1동,0.51,0.08,1.0,1,24.0,143.0,2.89,576
서울시,서대문구,남가좌2동,0.77,0.13,1.0,-,40.0,281.0,4.37,871
서울시,서대문구,북가좌1동,0.55,0.09,1.0,1,22.0,170.0,3.12,622
서울시,서대문구,북가좌2동,0.84,0.14,1.0,-,42.0,326.0,4.76,949
서울시,서대문구,충현동,1.12,0.19,1.0,5,38.0,220.0,6.35,1266
서울시,서대문구,북아현동,0.46,0.08,1.0,-,25.0,174.0,2.61,520
서울시,서대문구,신촌동,2.63,0.43,1.0,5,37.0,211.0,14.92,2976
서울시,서대문구,연희동,3.05,0.5,1.0,1,57.0,425.0,17.3,3450
